sent0,sent1,label
A lion is something you will find at a mall.,A lion is something you will find at a forest.,0
The chicken laid an egg.,The chicken laid a dog.,1
A man walked into the bank and made a deposit.,A man went to the pool and deposited cash.,1
Many Americans can eat at restaurants.,Many Americans can eat at toll booths.,1
My favorite fruit is apple.,My favorite fruit is Meat.,1
The policeman gave him a ticket for speeding.,The policeman gave him a reward for speeding.,1
George went to the basement to get some sun.,George went to the beach to get some sun.,0
He was so sad that he couldn't stop smiling.,He was so happy that he couldn't stop smiling.,0
He wore helmet to protect his head.,He wore cooker to protect his head.,1
We can see stars at day.,We can see stars at night.,0
About fifty people get in to a bus.,About fifty people get in to a car.,1
The two children threw a ball back and forth.,The two children threw a knife back and forth.,1
staying healthy requires drinking more whiskey.,staying healthy requires eating healthy food.,0
He wore glasses for eye.,He wore glasses for finger.,1
He murdered the shopkeeper with rifle.,He murdered the fridge with rifle.,1
English is a universal bird.,English is a universal language.,0
Books are suppose to be read.,Books are suppose to eat.,1
He checked the time in his pen.,He checked the time in his watch.,0
She went to the bookstore to get ready for her wedding.,She went to the hairdresser to get ready for her wedding.,0
The dog was chasing his wings.,The dog was chasing his tail.,0
He put on his shoes and went outside.,He went outside and put on his shoes.,1
The horse barked because he heard people walking down the street.,The dog barked because he heard people walking down the street.,0
He poured coffee into pizza.,He poured coffee into his cup.,0
she went to library to watch a movie.,she went to library to read the books.,0
Water in solid form is liquid.,Water in solid form is ice.,0
An ant is smaller then an atom.,An ant is smaller then a horse.,0
You would apply for volunteer work because you want money.,You would apply for a job because you want money.,0
Driver of a bus usually sits in the rearmost seat.,You will find the driver of a bus in the front seat.,0
The cat wants to go through the door.,The fridge wants to go through the door.,1
He went to blood bank to eat food.,he went to blood bank to donate blood.,0
He was travelling to office in his cooker.,He was travelling to office in his bike.,0
Cyclists ride a zebra in a competition.,Cyclists ride a bike in a competition.,0
The pilot was flying the plane.,The pilot was flying the bike.,1
she put a giraffe in the fridge..,he put an apple in the fridge.,0
A car needs four wheels and a blender in order for it to be standard.,A car needs four wheels and an engine in order for it to be standard.,0
The newly married couple gave birth to a dog.,The newly married couple gave birth to a boy baby.,0
The President Ordered the Military to Attack.,The Military ordered the President to Attack.,1
a man drink beer in a hospital.,a man drink beer in a bar.,0
They were playing football in the ground.,They were playing football in the fridge.,1
My nose is stuffed with ham.,My nose is stuffed with boogers.,0
She washes her hair everyday with a mild shampoo.,She washes her hair everyday with a mild hair oil.,1
She drank air from her water-bottle.,She drank water from her water-bottle.,0
"Since my friend is a recovering alcoholic, she only drinks sodas at restaurants.","Since my friend is a recovering  alcoholic, she only drinks wine at restaurants.",1
He went to theater to watch movie.,He went to helmet to watch movie.,1
He made real contact lenses with match sticks.,He made a model plane with match sticks.,0
The kitten ran through the sun.,The kitten ran through the bushes.,0
Gunpowder can burn for hours.,A candle can burn for hours..,0
she put a ice cream into the fridge.,she put a crocodile into the fridge.,1
"Stacey wanted to have some fun, so she went to church.","Stacey wanted to have some fun, so she went out to the club.",0
Weapons are used in marriage.,Weapons are used in war.,0
Tom went to the job interview because he wanted money.,Tom went to the job interview because he wanted soup.,1
he withdrew pen from the bank.,he withdrew cash from the bank.,0
I will be at the club tomorrow for my antenatal.,I will be at the hospital tomorrow for my antenatal.,0
He deposited money in the bank.,He deposited money in the restaurant.,1
My wall is African American.,My wall is white.,0
A library contains tons of bookshelves.,A library contains tons of drinks.,1
the guy won in the election.,The lion won in the election.,1
Dogs like eating vegetables.,Dogs like eating sausages.,0
She drove her car around the supermarket to collect groceries.,She pushed her trolley around the supermarket to collect groceries.,0
He wrote a letter to his wife on a stove.,He wrote a letter to his wife on a paper.,0
He wrote in a paper with a pen.,He used an eraser to write in a paper.,1
She killed a deer when she went hunting.,She killed an octopus when she went hunting.,1
You find wood in tears.,You find water in tears.,0
I buy milk and put it in the fridge.,I buy paper towels and put them in the fridge.,1
A flamingo is a type of bird.,A lion is a type of bird.,1
He was playing games on his computer.,He was playing games on his headphones.,1
A weightlifter must life weights to qualify as a weightlifter.,Weightlifters do not use weights when lifting.,1
birds can fly long distances.,Chickens can fly long distances.,1
We turn the AC on to cool ourselves down.,We turn the AC on because we like to push buttons.,1
He mowed the lawn in the morning.,He mowed the car in the morning.,1
She put an Indian in the oven.,She put a pie in the oven.,0
She kicked the ball down the street.,The street kicked the ball down.,1
The waiter brought a silver spoon to eat.,The waiter brought a  roasted chicken to eat.,0
He used warm clothing for skying.,He used warm clothing for sunbathing.,1
The dog was running in the sky.,The dog was running.,0
My cat is as big as elephant.,My cat is lovely.,0
Hybrid cars pollute a lot in the city.,Hybrid cars pollute little in the city.,0
Apples grow on trees.,Corn grows on trees.,1
She have wolf pet named muffin.,She have cat pet named muffin.,0
A total of 2000 students enrolled into the University of Portsmouth this year.,A total of 2000 Lions enrolled into the University of Portsmouth this year.,1
It is tuna day.,It is Friday today.,0
He went to the super market to buy parents.,He went to the super market to buy groceries.,0
I looked into the mirror.,I went inside the mirror.,1
He watch television daily.,Television watch him daily.,1
Cats are commonly kept as dogs.,Cats are commonly kept as pets.,0
A hot mug of coffee is a great way to go to sleep.,A hot mug of coffee is a great way to start the day.,0
The girl rides the dog.,The girl walks the dog .,0
Cockroaches are white insects.,Cockroaches are black insects.,0
If you want to go to shopping then you should go to a shopping mall.,If you want to go to shopping then you should go to a police station.,1
the first thing people usually do in the morning is eating a pot roast.,The first thing people usually do in the morning is eating breakfast.,0
He needs to close his eyes to stop talking.,He needs to close his mouth to stop talking.,0
My friend brushed her hair with a brush.,My friend brushed her hair with a knife.,1
The girl has severe blue skin in public.,The girl has severe anxiety in public.,0
Senators serve drinks to thirsty customers.,Bartenders serve drinks to thirsty customers.,0
The grass is green when it rains.,The grass is purple when it rains.,1
The little boy ate the tree.,The little boy climbed the tree.,0
I have a flying car.,I have a car.,0
A car key is needed to power on the car.,A snow scraper is needed to power on the car.,1
He kept a cow on the shelf.,He kept a book on the shelf.,0
To cook pasta you need poison.,"To cook pasta you need a pot, water and a stove.",0
There was a horse hissing at a snake.,There was a snake hissing at a horse.,0
There are never any Sundays in July.,There are seven days in a week..,0
You can learn to speak many languages if you practice daily.,You can put beans in a can if you squash them at night.,1
If you want to get something then you should buy it.,If you want to give something you should destroy it.,1
Sometimes drinking alcohol causes accidents.,Sometimes drinking alcohol helps concentrate in driving.,1
